,year,ann,Country,Season,Temperature,
138,1919,6.15,Scotland,spr,5.51,
139,1919,6.15,Scotland,sum,11.55,
140,1919,6.15,Scotland,aut,5.91,
141,1920,7.18,Scotland,win,2.95,
142,1920,7.18,Scotland,spr,6.07,
143,1920,7.18,Scotland,sum,11.39,
144,1920,7.18,Scotland,aut,8.33,
145,1921,7.68,Scotland,win,3.4,
146,1921,7.68,Scotland,spr,6.26,
147,1921,7.68,Scotland,sum,12.15,
148,1921,7.68,Scotland,aut,8.06,
149,1922,6.38,Scotland,win,3.08,
150,1922,6.38,Scotland,spr,5.1,
151,1922,6.38,Scotland,sum,10.61,
152,1922,6.38,Scotland,aut,6.98,
153,1923,6.61,Scotland,win,3.89,
154,1923,6.61,Scotland,spr,5.22,
155,1923,6.61,Scotland,sum,11.64,
156,1923,6.61,Scotland,aut,6.21,
157,1924,6.96,Scotland,win,2.65,
158,1924,6.96,Scotland,spr,4.76,
159,1924,6.96,Scotland,sum,11.51,
160,1924,6.96,Scotland,aut,7.78,
161,1925,6.85,Scotland,win,3.97,
162,1925,6.85,Scotland,spr,5.65,
163,1925,6.85,Scotland,sum,12.77,
164,1925,6.85,Scotland,aut,6.56,
165,1926,7.27,Scotland,win,2.58,
166,1926,7.27,Scotland,spr,6.28,
167,1926,7.27,Scotland,sum,12.65,
168,1926,7.27,Scotland,aut,6.51,
169,1927,6.72,Scotland,win,3.2,
170,1927,6.72,Scotland,spr,5.68,
171,1927,6.72,Scotland,sum,11.82,
172,1927,6.72,Scotland,aut,7.13,
173,1928,6.9,Scotland,win,2.36,
174,1928,6.9,Scotland,spr,5.93,
175,1928,6.9,Scotland,sum,11.09,
176,1928,6.9,Scotland,aut,7.51,
177,1929,6.74,Scotland,win,1.11,
178,1929,6.74,Scotland,spr,6.12,
179,1929,6.74,Scotland,sum,11.63,
180,1929,6.74,Scotland,aut,7.62,
181,1930,6.92,Scotland,win,2.39,
182,1930,6.92,Scotland,spr,5.54,
183,1930,6.92,Scotland,sum,12.47,
184,1930,6.92,Scotland,aut,7.32,
185,1931,6.86,Scotland,win,2.32,
186,1931,6.86,Scotland,spr,5.28,
187,1931,6.86,Scotland,sum,11.55,
188,1931,6.86,Scotland,aut,7.64,
189,1932,7.22,Scotland,win,4.4,
"Showing 1 to 20 of 2,224 entries, 6 total columns",,,,,,
